IMUMeasurement(frame=3897, timestamp=2.338726, accelerometer=Vector3D(x=0.113417, y=0.091282, z=9.855846), gyroscope=Vector3D(x=0.030817, y=0.009677, z=0.000089), compass=6.282840)
IMUMeasurement(frame=5249, timestamp=47.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000001, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5259, timestamp=47.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5269, timestamp=48.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5279, timestamp=48.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5289, timestamp=48.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5299, timestamp=49.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5309, timestamp=49.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5319, timestamp=49.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5329, timestamp=50.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5339, timestamp=50.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5349, timestamp=50.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5359, timestamp=51.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5369, timestamp=51.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5379, timestamp=51.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5389, timestamp=52.072061, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5399, timestamp=52.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5409, timestamp=52.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5419, timestamp=53.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5429, timestamp=53.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5439, timestamp=53.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5449, timestamp=54.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5459, timestamp=54.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5469, timestamp=54.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5479, timestamp=55.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5489, timestamp=55.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5499, timestamp=55.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5509, timestamp=56.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5519, timestamp=56.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5529, timestamp=56.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5539, timestamp=57.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5549, timestamp=57.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5559, timestamp=57.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5569, timestamp=58.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5579, timestamp=58.405395, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.179870)
IMUMeasurement(frame=5589, timestamp=58.738728, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5599, timestamp=59.072062, accelerometer=Vector3D(x=0.055632, y=-0.000095, z=9.809843), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.179870)
IMUMeasurement(frame=5609, timestamp=59.405395, accelerometer=Vector3D(x=1.558891, y=-0.002540, z=9.863839), gyroscope=Vector3D(x=0.003797, y=0.000141, z=-0.000041), compass=3.179870)
IMUMeasurement(frame=5619, timestamp=59.738729, accelerometer=Vector3D(x=2.743221, y=-0.016392, z=9.790386), gyroscope=Vector3D(x=0.009286, y=0.000346, z=-0.000622), compass=3.179640)
IMUMeasurement(frame=5629, timestamp=60.072062, accelerometer=Vector3D(x=2.725703, y=-0.030937, z=9.749530), gyroscope=Vector3D(x=0.004633, y=0.000126, z=-0.002019), compass=3.179059)
IMUMeasurement(frame=5639, timestamp=60.405395, accelerometer=Vector3D(x=2.620860, y=-0.064306, z=9.764647), gyroscope=Vector3D(x=0.000092, y=-0.000148, z=-0.007107), compass=3.177431)
IMUMeasurement(frame=5649, timestamp=60.738729, accelerometer=Vector3D(x=1.955745, y=-0.100125, z=9.761475), gyroscope=Vector3D(x=-0.002675, y=-0.000346, z=-0.014587), compass=3.173710)
IMUMeasurement(frame=5659, timestamp=61.072062, accelerometer=Vector3D(x=0.597397, y=-0.094904, z=9.793047), gyroscope=Vector3D(x=-0.007651, y=-0.000410, z=-0.019955), compass=3.167709)
IMUMeasurement(frame=5669, timestamp=61.405395, accelerometer=Vector3D(x=0.145293, y=-0.085524, z=9.832184), gyroscope=Vector3D(x=-0.005557, y=-0.000170, z=-0.021890), compass=3.160529)
IMUMeasurement(frame=5679, timestamp=61.738729, accelerometer=Vector3D(x=0.075293, y=-0.063003, z=9.827526), gyroscope=Vector3D(x=-0.001486, y=0.000071, z=-0.021169), compass=3.153199)
IMUMeasurement(frame=5689, timestamp=62.072062, accelerometer=Vector3D(x=-0.025632, y=-0.050794, z=9.812627), gyroscope=Vector3D(x=0.000122, y=0.000140, z=-0.019052), compass=3.146402)
IMUMeasurement(frame=5699, timestamp=62.405395, accelerometer=Vector3D(x=-0.476274, y=-0.028782, z=9.796347), gyroscope=Vector3D(x=-0.001031, y=0.000154, z=-0.015956), compass=3.140557)
IMUMeasurement(frame=5709, timestamp=62.738729, accelerometer=Vector3D(x=-0.233550, y=-0.022570, z=9.835582), gyroscope=Vector3D(x=-0.000427, y=0.000129, z=-0.013114), compass=3.135733)
IMUMeasurement(frame=5719, timestamp=63.072062, accelerometer=Vector3D(x=-12.283436, y=0.034301, z=9.251106), gyroscope=Vector3D(x=-0.020882, y=0.000406, z=-0.010079), compass=3.131784)
IMUMeasurement(frame=5729, timestamp=63.405395, accelerometer=Vector3D(x=0.799292, y=-0.016486, z=9.915984), gyroscope=Vector3D(x=0.008987, y=-0.000021, z=-0.008013), compass=3.128944)
IMUMeasurement(frame=5739, timestamp=63.738729, accelerometer=Vector3D(x=0.905153, y=-0.016339, z=9.775391), gyroscope=Vector3D(x=0.009441, y=-0.000124, z=-0.007483), compass=3.126362)
IMUMeasurement(frame=5749, timestamp=64.072062, accelerometer=Vector3D(x=2.191725, y=-0.031824, z=9.783019), gyroscope=Vector3D(x=0.007109, y=-0.000194, z=-0.008097), compass=3.123789)
